
(base) C:\Users\Sammie>cd C:\Users\Sammie\Documents\Northwest\44-671\Module 06\streaming-06-smart-smoker

(base) C:\Users\Sammie\Documents\Northwest\44-671\Module 06\streaming-06-smart-smoker>conda activate base

(base) C:\Users\Sammie\Documents\Northwest\44-671\Module 06\streaming-06-smart-smoker>python bbq_producer.py
Would you like to monitor RabbitMQ queues? y or n y


 [x] Sent b'[5/22/2021 12:20, 84.2]' to 01-smoker
 [x] Sent b'[5/22/2021 14:21, 56.7]' to 03-food-B
 [x] Sent b'[5/22/2021 14:22, 249.4]' to 01-smoker
 [x] Sent b'[5/22/2021 14:22, 249.4]' to 01-smoker
 [x] Sent b'[5/22/2021 14:22, 70.3]' to 02-food-A
 [x] Sent b'[5/22/2021 14:22, 70.3]' to 02-food-A
 [x] Sent b'[5/22/2021 14:22, 57.9]' to 03-food-B
 [x] Sent b'[5/22/2021 14:22, 57.9]' to 03-food-B
 [x] Sent b'[5/22/2021 14:23, 249.8]' to 01-smoker
 [x] Sent b'[5/22/2021 14:23, 249.8]' to 01-smoker
 [x] Sent b'[5/22/2021 14:23, 71.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:23, 71.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:23, 59.1]' to 03-food-B
 [x] Sent b'[5/22/2021 14:23, 59.1]' to 03-food-B
 [x] Sent b'[5/22/2021 14:24, 249.2]' to 01-smoker
 [x] Sent b'[5/22/2021 14:24, 249.2]' to 01-smoker
 [x] Sent b'[5/22/2021 14:24, 72.6]' to 02-food-A
 [x] Sent b'[5/22/2021 14:24, 72.6]' to 02-food-A
 [x] Sent b'[5/22/2021 14:24, 60.3]' to 03-food-B
 [x] Sent b'[5/22/2021 14:24, 60.3]' to 03-food-B
 [x] Sent b'[5/22/2021 14:25, 248.1]' to 01-smoker
 [x] Sent b'[5/22/2021 14:25, 248.1]' to 01-smoker
 [x] Sent b'[5/22/2021 14:25, 73.8]' to 02-food-A
 [x] Sent b'[5/22/2021 14:25, 73.8]' to 02-food-A
 [x] Sent b'[5/22/2021 14:25, 61.5]' to 03-food-B
 [x] Sent b'[5/22/2021 14:25, 61.5]' to 03-food-B
 [x] Sent b'[5/22/2021 14:26, 248.5]' to 01-smoker
 [x] Sent b'[5/22/2021 14:26, 248.5]' to 01-smoker
 [x] Sent b'[5/22/2021 14:26, 74.9]' to 02-food-A
 [x] Sent b'[5/22/2021 14:26, 74.9]' to 02-food-A
 [x] Sent b'[5/22/2021 14:26, 62.7]' to 03-food-B
 [x] Sent b'[5/22/2021 14:26, 62.7]' to 03-food-B
 [x] Sent b'[5/22/2021 14:27, 248.9]' to 01-smoker
 [x] Sent b'[5/22/2021 14:27, 248.9]' to 01-smoker
 [x] Sent b'[5/22/2021 14:27, 76]' to 02-food-A
 [x] Sent b'[5/22/2021 14:27, 76]' to 02-food-A
 [x] Sent b'[5/22/2021 14:27, 63.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:27, 63.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:28, 249.2]' to 01-smoker
 [x] Sent b'[5/22/2021 14:28, 249.2]' to 01-smoker
 [x] Sent b'[5/22/2021 14:28, 77.1]' to 02-food-A
 [x] Sent b'[5/22/2021 14:28, 77.1]' to 02-food-A
 [x] Sent b'[5/22/2021 14:28, 65.1]' to 03-food-B
 [x] Sent b'[5/22/2021 14:28, 65.1]' to 03-food-B
 [x] Sent b'[5/22/2021 14:29, 249.4]' to 01-smoker
 [x] Sent b'[5/22/2021 14:29, 249.4]' to 01-smoker
 [x] Sent b'[5/22/2021 14:29, 78.1]' to 02-food-A
 [x] Sent b'[5/22/2021 14:29, 78.1]' to 02-food-A
 [x] Sent b'[5/22/2021 14:29, 66.3]' to 03-food-B
 [x] Sent b'[5/22/2021 14:29, 66.3]' to 03-food-B
 [x] Sent b'[5/22/2021 14:30, 250.4]' to 01-smoker
 [x] Sent b'[5/22/2021 14:30, 250.4]' to 01-smoker
 [x] Sent b'[5/22/2021 14:30, 79.2]' to 02-food-A
 [x] Sent b'[5/22/2021 14:30, 79.2]' to 02-food-A
 [x] Sent b'[5/22/2021 14:30, 67.5]' to 03-food-B
 [x] Sent b'[5/22/2021 14:30, 67.5]' to 03-food-B
 [x] Sent b'[5/22/2021 14:31, 251]' to 01-smoker
 [x] Sent b'[5/22/2021 14:31, 251]' to 01-smoker
 [x] Sent b'[5/22/2021 14:31, 80.2]' to 02-food-A
 [x] Sent b'[5/22/2021 14:31, 80.2]' to 02-food-A
 [x] Sent b'[5/22/2021 14:31, 68.6]' to 03-food-B
 [x] Sent b'[5/22/2021 14:31, 68.6]' to 03-food-B
 [x] Sent b'[5/22/2021 14:32, 251.2]' to 01-smoker
 [x] Sent b'[5/22/2021 14:32, 251.2]' to 01-smoker
 [x] Sent b'[5/22/2021 14:32, 81.2]' to 02-food-A
 [x] Sent b'[5/22/2021 14:32, 81.2]' to 02-food-A
 [x] Sent b'[5/22/2021 14:32, 69.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:32, 69.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:33, 250.6]' to 01-smoker
 [x] Sent b'[5/22/2021 14:33, 250.6]' to 01-smoker
 [x] Sent b'[5/22/2021 14:33, 82.3]' to 02-food-A
 [x] Sent b'[5/22/2021 14:33, 82.3]' to 02-food-A
 [x] Sent b'[5/22/2021 14:33, 70.9]' to 03-food-B
 [x] Sent b'[5/22/2021 14:33, 70.9]' to 03-food-B
 [x] Sent b'[5/22/2021 14:34, 250.4]' to 01-smoker
 [x] Sent b'[5/22/2021 14:34, 250.4]' to 01-smoker
 [x] Sent b'[5/22/2021 14:34, 83.3]' to 02-food-A
 [x] Sent b'[5/22/2021 14:34, 83.3]' to 02-food-A
 [x] Sent b'[5/22/2021 14:34, 72.1]' to 03-food-B
 [x] Sent b'[5/22/2021 14:34, 72.1]' to 03-food-B
 [x] Sent b'[5/22/2021 14:35, 250.5]' to 01-smoker
 [x] Sent b'[5/22/2021 14:35, 250.5]' to 01-smoker
 [x] Sent b'[5/22/2021 14:35, 84.3]' to 02-food-A
 [x] Sent b'[5/22/2021 14:35, 84.3]' to 02-food-A
 [x] Sent b'[5/22/2021 14:35, 73.3]' to 03-food-B
 [x] Sent b'[5/22/2021 14:35, 73.3]' to 03-food-B
 [x] Sent b'[5/22/2021 14:36, 250.6]' to 01-smoker
 [x] Sent b'[5/22/2021 14:36, 250.6]' to 01-smoker
 [x] Sent b'[5/22/2021 14:36, 85.3]' to 02-food-A
 [x] Sent b'[5/22/2021 14:36, 85.3]' to 02-food-A
 [x] Sent b'[5/22/2021 14:36, 74.4]' to 03-food-B
 [x] Sent b'[5/22/2021 14:36, 74.4]' to 03-food-B
 [x] Sent b'[5/22/2021 14:37, 248.9]' to 01-smoker
 [x] Sent b'[5/22/2021 14:37, 248.9]' to 01-smoker
 [x] Sent b'[5/22/2021 14:37, 86.4]' to 02-food-A
 [x] Sent b'[5/22/2021 14:37, 86.4]' to 02-food-A
 [x] Sent b'[5/22/2021 14:37, 75.5]' to 03-food-B
 [x] Sent b'[5/22/2021 14:37, 75.5]' to 03-food-B
 [x] Sent b'[5/22/2021 14:38, 248.9]' to 01-smoker
 [x] Sent b'[5/22/2021 14:38, 248.9]' to 01-smoker
 [x] Sent b'[5/22/2021 14:38, 87.4]' to 02-food-A
 [x] Sent b'[5/22/2021 14:38, 87.4]' to 02-food-A
 [x] Sent b'[5/22/2021 14:38, 76.6]' to 03-food-B
 [x] Sent b'[5/22/2021 14:38, 76.6]' to 03-food-B
 [x] Sent b'[5/22/2021 14:39, 249.5]' to 01-smoker
 [x] Sent b'[5/22/2021 14:39, 249.5]' to 01-smoker
 [x] Sent b'[5/22/2021 14:39, 88.4]' to 02-food-A
 [x] Sent b'[5/22/2021 14:39, 88.4]' to 02-food-A
 [x] Sent b'[5/22/2021 14:39, 77.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:39, 77.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:40, 249.7]' to 01-smoker
 [x] Sent b'[5/22/2021 14:40, 249.7]' to 01-smoker
 [x] Sent b'[5/22/2021 14:40, 89.4]' to 02-food-A
 [x] Sent b'[5/22/2021 14:40, 89.4]' to 02-food-A
 [x] Sent b'[5/22/2021 14:40, 78.9]' to 03-food-B
 [x] Sent b'[5/22/2021 14:40, 78.9]' to 03-food-B
 [x] Sent b'[5/22/2021 14:41, 249.7]' to 01-smoker
 [x] Sent b'[5/22/2021 14:41, 249.7]' to 01-smoker
 [x] Sent b'[5/22/2021 14:41, 90.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:41, 90.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:41, 80]' to 03-food-B
 [x] Sent b'[5/22/2021 14:41, 80]' to 03-food-B
 [x] Sent b'[5/22/2021 14:42, 249.1]' to 01-smoker
 [x] Sent b'[5/22/2021 14:42, 249.1]' to 01-smoker
 [x] Sent b'[5/22/2021 14:42, 91.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:42, 91.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:42, 81.1]' to 03-food-B
 [x] Sent b'[5/22/2021 14:42, 81.1]' to 03-food-B
 [x] Sent b'[5/22/2021 14:43, 248.5]' to 01-smoker
 [x] Sent b'[5/22/2021 14:43, 248.5]' to 01-smoker
 [x] Sent b'[5/22/2021 14:43, 92.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:43, 92.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:43, 82.2]' to 03-food-B
 [x] Sent b'[5/22/2021 14:43, 82.2]' to 03-food-B
 [x] Sent b'[5/22/2021 14:44, 248.5]' to 01-smoker
 [x] Sent b'[5/22/2021 14:44, 248.5]' to 01-smoker
 [x] Sent b'[5/22/2021 14:44, 93.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:44, 93.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:44, 83.3]' to 03-food-B
 [x] Sent b'[5/22/2021 14:44, 83.3]' to 03-food-B
 [x] Sent b'[5/22/2021 14:45, 248.8]' to 01-smoker
 [x] Sent b'[5/22/2021 14:45, 248.8]' to 01-smoker
 [x] Sent b'[5/22/2021 14:45, 94.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:45, 94.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:45, 84.4]' to 03-food-B
 [x] Sent b'[5/22/2021 14:45, 84.4]' to 03-food-B
 [x] Sent b'[5/22/2021 14:46, 249.5]' to 01-smoker
 [x] Sent b'[5/22/2021 14:46, 249.5]' to 01-smoker
 [x] Sent b'[5/22/2021 14:46, 95.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:46, 95.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:46, 85.5]' to 03-food-B
 [x] Sent b'[5/22/2021 14:46, 85.5]' to 03-food-B
 [x] Sent b'[5/22/2021 14:47, 250.2]' to 01-smoker
 [x] Sent b'[5/22/2021 14:47, 250.2]' to 01-smoker
 [x] Sent b'[5/22/2021 14:47, 96.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:47, 96.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:47, 86.5]' to 03-food-B
 [x] Sent b'[5/22/2021 14:47, 86.5]' to 03-food-B
 [x] Sent b'[5/22/2021 14:48, 249.2]' to 01-smoker
 [x] Sent b'[5/22/2021 14:48, 249.2]' to 01-smoker
 [x] Sent b'[5/22/2021 14:48, 97.4]' to 02-food-A
 [x] Sent b'[5/22/2021 14:48, 97.4]' to 02-food-A
 [x] Sent b'[5/22/2021 14:48, 87.6]' to 03-food-B
 [x] Sent b'[5/22/2021 14:48, 87.6]' to 03-food-B
 [x] Sent b'[5/22/2021 14:49, 248.8]' to 01-smoker
 [x] Sent b'[5/22/2021 14:49, 248.8]' to 01-smoker
 [x] Sent b'[5/22/2021 14:49, 98.4]' to 02-food-A
 [x] Sent b'[5/22/2021 14:49, 98.4]' to 02-food-A
 [x] Sent b'[5/22/2021 14:49, 88.6]' to 03-food-B
 [x] Sent b'[5/22/2021 14:49, 88.6]' to 03-food-B
 [x] Sent b'[5/22/2021 14:50, 248.6]' to 01-smoker
 [x] Sent b'[5/22/2021 14:50, 248.6]' to 01-smoker
 [x] Sent b'[5/22/2021 14:50, 99.3]' to 02-food-A
 [x] Sent b'[5/22/2021 14:50, 99.3]' to 02-food-A
 [x] Sent b'[5/22/2021 14:50, 89.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:50, 89.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:51, 248.7]' to 01-smoker
 [x] Sent b'[5/22/2021 14:51, 248.7]' to 01-smoker
 [x] Sent b'[5/22/2021 14:51, 100.2]' to 02-food-A
 [x] Sent b'[5/22/2021 14:51, 100.2]' to 02-food-A
 [x] Sent b'[5/22/2021 14:51, 90.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:51, 90.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:52, 248.7]' to 01-smoker
 [x] Sent b'[5/22/2021 14:52, 248.7]' to 01-smoker
 [x] Sent b'[5/22/2021 14:52, 101.1]' to 02-food-A
 [x] Sent b'[5/22/2021 14:52, 101.1]' to 02-food-A
 [x] Sent b'[5/22/2021 14:52, 91.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:52, 91.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:53, 248.5]' to 01-smoker
 [x] Sent b'[5/22/2021 14:53, 248.5]' to 01-smoker
 [x] Sent b'[5/22/2021 14:53, 102]' to 02-food-A
 [x] Sent b'[5/22/2021 14:53, 102]' to 02-food-A
 [x] Sent b'[5/22/2021 14:53, 92.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:53, 92.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:54, 248.7]' to 01-smoker
 [x] Sent b'[5/22/2021 14:54, 248.7]' to 01-smoker
 [x] Sent b'[5/22/2021 14:54, 102.8]' to 02-food-A
 [x] Sent b'[5/22/2021 14:54, 102.8]' to 02-food-A
 [x] Sent b'[5/22/2021 14:54, 93.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:54, 93.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:55, 248.5]' to 01-smoker
 [x] Sent b'[5/22/2021 14:55, 248.5]' to 01-smoker
 [x] Sent b'[5/22/2021 14:55, 103.7]' to 02-food-A
 [x] Sent b'[5/22/2021 14:55, 103.7]' to 02-food-A
 [x] Sent b'[5/22/2021 14:55, 94.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:55, 94.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:56, 248.2]' to 01-smoker
 [x] Sent b'[5/22/2021 14:56, 248.2]' to 01-smoker
 [x] Sent b'[5/22/2021 14:56, 104.6]' to 02-food-A
 [x] Sent b'[5/22/2021 14:56, 104.6]' to 02-food-A
 [x] Sent b'[5/22/2021 14:56, 95.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:56, 95.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:57, 247.8]' to 01-smoker
 [x] Sent b'[5/22/2021 14:57, 247.8]' to 01-smoker
 [x] Sent b'[5/22/2021 14:57, 105.4]' to 02-food-A
 [x] Sent b'[5/22/2021 14:57, 105.4]' to 02-food-A
 [x] Sent b'[5/22/2021 14:57, 96.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:57, 96.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:58, 247]' to 01-smoker
 [x] Sent b'[5/22/2021 14:58, 247]' to 01-smoker
 [x] Sent b'[5/22/2021 14:58, 106.2]' to 02-food-A
 [x] Sent b'[5/22/2021 14:58, 106.2]' to 02-food-A
 [x] Sent b'[5/22/2021 14:58, 97.7]' to 03-food-B
 [x] Sent b'[5/22/2021 14:58, 97.7]' to 03-food-B
 [x] Sent b'[5/22/2021 14:59, 247.2]' to 01-smoker
 [x] Sent b'[5/22/2021 14:59, 247.2]' to 01-smoker
 [x] Sent b'[5/22/2021 14:59, 107]' to 02-food-A
 [x] Sent b'[5/22/2021 14:59, 107]' to 02-food-A
 [x] Sent b'[5/22/2021 14:59, 98.7]' to 03-food-B
 [x] Sent b'[5/22/2021 14:59, 98.7]' to 03-food-B
 [x] Sent b'[5/22/2021 15:00, 247.4]' to 01-smoker
 [x] Sent b'[5/22/2021 15:00, 247.4]' to 01-smoker
 [x] Sent b'[5/22/2021 15:00, 107.8]' to 02-food-A
 [x] Sent b'[5/22/2021 15:00, 107.8]' to 02-food-A
 [x] Sent b'[5/22/2021 15:00, 99.5]' to 03-food-B
 [x] Sent b'[5/22/2021 15:00, 99.5]' to 03-food-B
 [x] Sent b'[5/22/2021 15:01, 248.1]' to 01-smoker
 [x] Sent b'[5/22/2021 15:01, 248.1]' to 01-smoker
 [x] Sent b'[5/22/2021 15:01, 108.6]' to 02-food-A
 [x] Sent b'[5/22/2021 15:01, 108.6]' to 02-food-A
 [x] Sent b'[5/22/2021 15:01, 100.5]' to 03-food-B
 [x] Sent b'[5/22/2021 15:01, 100.5]' to 03-food-B
 [x] Sent b'[5/22/2021 15:02, 248.5]' to 01-smoker
 [x] Sent b'[5/22/2021 15:02, 248.5]' to 01-smoker
 [x] Sent b'[5/22/2021 15:02, 109.3]' to 02-food-A
 [x] Sent b'[5/22/2021 15:02, 109.3]' to 02-food-A
 [x] Sent b'[5/22/2021 15:02, 101.4]' to 03-food-B
 [x] Sent b'[5/22/2021 15:02, 101.4]' to 03-food-B
 [x] Sent b'[5/22/2021 15:03, 248.2]' to 01-smoker
 [x] Sent b'[5/22/2021 15:03, 248.2]' to 01-smoker
 [x] Sent b'[5/22/2021 15:03, 110.1]' to 02-food-A
 [x] Sent b'[5/22/2021 15:03, 110.1]' to 02-food-A
 [x] Sent b'[5/22/2021 15:03, 102.2]' to 03-food-B
 [x] Sent b'[5/22/2021 15:03, 102.2]' to 03-food-B
 [x] Sent b'[5/22/2021 15:04, 248]' to 01-smoker
 [x] Sent b'[5/22/2021 15:04, 248]' to 01-smoker
 [x] Sent b'[5/22/2021 15:04, 110.9]' to 02-food-A
 [x] Sent b'[5/22/2021 15:04, 110.9]' to 02-food-A
 [x] Sent b'[5/22/2021 15:04, 103.1]' to 03-food-B
 [x] Sent b'[5/22/2021 15:04, 103.1]' to 03-food-B
 [x] Sent b'[5/22/2021 15:05, 247.8]' to 01-smoker
 [x] Sent b'[5/22/2021 15:05, 247.8]' to 01-smoker
 [x] Sent b'[5/22/2021 15:05, 111.6]' to 02-food-A
 [x] Sent b'[5/22/2021 15:05, 111.6]' to 02-food-A
 [x] Sent b'[5/22/2021 15:05, 104]' to 03-food-B
 [x] Sent b'[5/22/2021 15:05, 104]' to 03-food-B
 [x] Sent b'[5/22/2021 15:06, 247.7]' to 01-smoker
 [x] Sent b'[5/22/2021 15:06, 247.7]' to 01-smoker
 [x] Sent b'[5/22/2021 15:06, 112.4]' to 02-food-A
 [x] Sent b'[5/22/2021 15:06, 112.4]' to 02-food-A
 [x] Sent b'[5/22/2021 15:06, 104.8]' to 03-food-B
 [x] Sent b'[5/22/2021 15:06, 104.8]' to 03-food-B
 [x] Sent b'[5/22/2021 15:07, 247.5]' to 01-smoker
 [x] Sent b'[5/22/2021 15:07, 247.5]' to 01-smoker
 [x] Sent b'[5/22/2021 15:07, 113.1]' to 02-food-A
 [x] Sent b'[5/22/2021 15:07, 113.1]' to 02-food-A
 [x] Sent b'[5/22/2021 15:07, 105.6]' to 03-food-B
 [x] Sent b'[5/22/2021 15:07, 105.6]' to 03-food-B
 [x] Sent b'[5/22/2021 15:08, 247.5]' to 01-smoker
 [x] Sent b'[5/22/2021 15:08, 247.5]' to 01-smoker
 [x] Sent b'[5/22/2021 15:08, 113.8]' to 02-food-A
 [x] Sent b'[5/22/2021 15:08, 113.8]' to 02-food-A
 [x] Sent b'[5/22/2021 15:08, 106.4]' to 03-food-B
 [x] Sent b'[5/22/2021 15:08, 106.4]' to 03-food-B
 [x] Sent b'[5/22/2021 15:09, 248.3]' to 01-smoker
 [x] Sent b'[5/22/2021 15:09, 248.3]' to 01-smoker
 [x] Sent b'[5/22/2021 15:09, 114.5]' to 02-food-A
 [x] Sent b'[5/22/2021 15:09, 114.5]' to 02-food-A
 [x] Sent b'[5/22/2021 15:09, 107.2]' to 03-food-B
 [x] Sent b'[5/22/2021 15:09, 107.2]' to 03-food-B
 [x] Sent b'[5/22/2021 15:10, 249.7]' to 01-smoker
 [x] Sent b'[5/22/2021 15:10, 249.7]' to 01-smoker
 [x] Sent b'[5/22/2021 15:10, 115.2]' to 02-food-A
 [x] Sent b'[5/22/2021 15:10, 115.2]' to 02-food-A
 [x] Sent b'[5/22/2021 15:10, 108]' to 03-food-B
 [x] Sent b'[5/22/2021 15:10, 108]' to 03-food-B
 [x] Sent b'[5/22/2021 15:11, 251.7]' to 01-smoker
 [x] Sent b'[5/22/2021 15:11, 251.7]' to 01-smoker
 [x] Sent b'[5/22/2021 15:11, 115.9]' to 02-food-A
 [x] Sent b'[5/22/2021 15:11, 115.9]' to 02-food-A
 [x] Sent b'[5/22/2021 15:11, 108.8]' to 03-food-B
 [x] Sent b'[5/22/2021 15:11, 108.8]' to 03-food-B
 [x] Sent b'[5/22/2021 15:12, 252.4]' to 01-smoker
 [x] Sent b'[5/22/2021 15:12, 252.4]' to 01-smoker
 [x] Sent b'[5/22/2021 15:12, 116.5]' to 02-food-A
 [x] Sent b'[5/22/2021 15:12, 116.5]' to 02-food-A
 [x] Sent b'[5/22/2021 15:12, 109.5]' to 03-food-B
 [x] Sent b'[5/22/2021 15:12, 109.5]' to 03-food-B
 [x] Sent b'[5/22/2021 15:13, 252.3]' to 01-smoker
 [x] Sent b'[5/22/2021 15:13, 252.3]' to 01-smoker
 [x] Sent b'[5/22/2021 15:13, 117.2]' to 02-food-A
 [x] Sent b'[5/22/2021 15:13, 117.2]' to 02-food-A
 [x] Sent b'[5/22/2021 15:13, 110.2]' to 03-food-B
 [x] Sent b'[5/22/2021 15:13, 110.2]' to 03-food-B
 [x] Sent b'[5/22/2021 15:14, 252.5]' to 01-smoker
 [x] Sent b'[5/22/2021 15:14, 252.5]' to 01-smoker
 [x] Sent b'[5/22/2021 15:14, 117.9]' to 02-food-A
 [x] Sent b'[5/22/2021 15:14, 117.9]' to 02-food-A
 [x] Sent b'[5/22/2021 15:14, 111]' to 03-food-B
 [x] Sent b'[5/22/2021 15:14, 111]' to 03-food-B
 [x] Sent b'[5/22/2021 15:15, 252.5]' to 01-smoker
 [x] Sent b'[5/22/2021 15:15, 252.5]' to 01-smoker
 [x] Sent b'[5/22/2021 15:15, 118.6]' to 02-food-A
 [x] Sent b'[5/22/2021 15:15, 118.6]' to 02-food-A
 [x] Sent b'[5/22/2021 15:15, 111.7]' to 03-food-B
 [x] Sent b'[5/22/2021 15:15, 111.7]' to 03-food-B
 [x] Sent b'[5/22/2021 15:16, 253.2]' to 01-smoker
 [x] Sent b'[5/22/2021 15:16, 253.2]' to 01-smoker
 [x] Sent b'[5/22/2021 15:16, 119.3]' to 02-food-A
 [x] Sent b'[5/22/2021 15:16, 119.3]' to 02-food-A
 [x] Sent b'[5/22/2021 15:16, 112.4]' to 03-food-B
 [x] Sent b'[5/22/2021 15:16, 112.4]' to 03-food-B
 [x] Sent b'[5/22/2021 15:17, 254.3]' to 01-smoker
 [x] Sent b'[5/22/2021 15:17, 254.3]' to 01-smoker
 [x] Sent b'[5/22/2021 15:17, 120]' to 02-food-A
 [x] Sent b'[5/22/2021 15:17, 120]' to 02-food-A
 [x] Sent b'[5/22/2021 15:17, 113.1]' to 03-food-B
 [x] Sent b'[5/22/2021 15:17, 113.1]' to 03-food-B
 [x] Sent b'[5/22/2021 15:18, 254.3]' to 01-smoker
 [x] Sent b'[5/22/2021 15:18, 254.3]' to 01-smoker
 [x] Sent b'[5/22/2021 15:18, 120.6]' to 02-food-A
 [x] Sent b'[5/22/2021 15:18, 120.6]' to 02-food-A
 [x] Sent b'[5/22/2021 15:18, 113.8]' to 03-food-B
 [x] Sent b'[5/22/2021 15:18, 113.8]' to 03-food-B
 [x] Sent b'[5/22/2021 15:19, 253.6]' to 01-smoker
 [x] Sent b'[5/22/2021 15:19, 253.6]' to 01-smoker
 [x] Sent b'[5/22/2021 15:19, 121.3]' to 02-food-A
 [x] Sent b'[5/22/2021 15:19, 121.3]' to 02-food-A
 [x] Sent b'[5/22/2021 15:19, 114.5]' to 03-food-B
 [x] Sent b'[5/22/2021 15:19, 114.5]' to 03-food-B
 [x] Sent b'[5/22/2021 15:20, 253.6]' to 01-smoker
 [x] Sent b'[5/22/2021 15:20, 253.6]' to 01-smoker
 [x] Sent b'[5/22/2021 15:20, 121.9]' to 02-food-A
 [x] Sent b'[5/22/2021 15:20, 121.9]' to 02-food-A
 [x] Sent b'[5/22/2021 15:20, 115.1]' to 03-food-B
 [x] Sent b'[5/22/2021 15:20, 115.1]' to 03-food-B
 [x] Sent b'[5/22/2021 15:21, 255]' to 01-smoker
 [x] Sent b'[5/22/2021 15:21, 255]' to 01-smoker
 [x] Sent b'[5/22/2021 15:21, 122.5]' to 02-food-A
 [x] Sent b'[5/22/2021 15:21, 122.5]' to 02-food-A
 [x] Sent b'[5/22/2021 15:21, 115.8]' to 03-food-B
 [x] Sent b'[5/22/2021 15:21, 115.8]' to 03-food-B
 [x] Sent b'[5/22/2021 15:22, 256.4]' to 01-smoker
 [x] Sent b'[5/22/2021 15:22, 256.4]' to 01-smoker
 [x] Sent b'[5/22/2021 15:22, 123.1]' to 02-food-A
 [x] Sent b'[5/22/2021 15:22, 123.1]' to 02-food-A
 [x] Sent b'[5/22/2021 15:22, 116.4]' to 03-food-B
 [x] Sent b'[5/22/2021 15:22, 116.4]' to 03-food-B
 [x] Sent b'[5/22/2021 15:23, 256.7]' to 01-smoker
 [x] Sent b'[5/22/2021 15:23, 256.7]' to 01-smoker
 [x] Sent b'[5/22/2021 15:23, 123.8]' to 02-food-A
 [x] Sent b'[5/22/2021 15:23, 123.8]' to 02-food-A
 [x] Sent b'[5/22/2021 15:23, 117]' to 03-food-B
 [x] Sent b'[5/22/2021 15:23, 117]' to 03-food-B
 [x] Sent b'[5/22/2021 15:24, 256.4]' to 01-smoker
 [x] Sent b'[5/22/2021 15:24, 256.4]' to 01-smoker
 [x] Sent b'[5/22/2021 15:24, 124.3]' to 02-food-A
 [x] Sent b'[5/22/2021 15:24, 124.3]' to 02-food-A
 [x] Sent b'[5/22/2021 15:24, 117.7]' to 03-food-B
 [x] Sent b'[5/22/2021 15:24, 117.7]' to 03-food-B
 [x] Sent b'[5/22/2021 15:25, 256.3]' to 01-smoker
 [x] Sent b'[5/22/2021 15:25, 256.3]' to 01-smoker
 [x] Sent b'[5/22/2021 15:25, 124.9]' to 02-food-A
 [x] Sent b'[5/22/2021 15:25, 124.9]' to 02-food-A
 [x] Sent b'[5/22/2021 15:25, 118.2]' to 03-food-B
 [x] Sent b'[5/22/2021 15:25, 118.2]' to 03-food-B
 [x] Sent b'[5/22/2021 15:26, 256.6]' to 01-smoker
 [x] Sent b'[5/22/2021 15:26, 256.6]' to 01-smoker
 [x] Sent b'[5/22/2021 15:26, 125.5]' to 02-food-A
 [x] Sent b'[5/22/2021 15:26, 125.5]' to 02-food-A
 [x] Sent b'[5/22/2021 15:26, 118.8]' to 03-food-B
 [x] Sent b'[5/22/2021 15:26, 118.8]' to 03-food-B
 [x] Sent b'[5/22/2021 15:27, 257]' to 01-smoker
 [x] Sent b'[5/22/2021 15:27, 257]' to 01-smoker
 [x] Sent b'[5/22/2021 15:27, 126.1]' to 02-food-A
 [x] Sent b'[5/22/2021 15:27, 126.1]' to 02-food-A
